Start,Value,End,Pollutant,Unit
2021-09-05 01:00:00,14.1,2021-09-05 02:00:00,6001,ug.m-3
2021-09-05 02:00:00,13.43,2021-09-05 03:00:00,6001,ug.m-3
2021-09-05 03:00:00,12.87,2021-09-05 04:00:00,6001,ug.m-3
2021-09-05 04:00:00,12.53,2021-09-05 05:00:00,6001,ug.m-3
2021-09-05 05:00:00,11.45,2021-09-05 06:00:00,6001,ug.m-3
2021-09-05 06:00:00,13.71,2021-09-05 07:00:00,6001,ug.m-3
2021-09-05 07:00:00,14.02,2021-09-05 08:00:00,6001,ug.m-3
2021-09-05 08:00:00,13.42,2021-09-05 09:00:00,6001,ug.m-3
2021-09-05 09:00:00,11.64,2021-09-05 10:00:00,6001,ug.m-3
2021-09-05 10:00:00,10.22,2021-09-05 11:00:00,6001,ug.m-3
2021-09-05 11:00:00,11.14,2021-09-05 12:00:00,6001,ug.m-3
2021-09-05 12:00:00,12.89,2021-09-05 13:00:00,6001,ug.m-3
2021-09-05 13:00:00,12.72,2021-09-05 14:00:00,6001,ug.m-3
2021-09-05 14:00:00,12.51,2021-09-05 15:00:00,6001,ug.m-3
2021-09-05 15:00:00,11.79,2021-09-05 16:00:00,6001,ug.m-3
2021-09-05 16:00:00,11.26,2021-09-05 17:00:00,6001,ug.m-3
2021-09-05 17:00:00,10.15,2021-09-05 18:00:00,6001,ug.m-3
2021-09-05 18:00:00,9.97,2021-09-05 19:00:00,6001,ug.m-3
2021-09-05 19:00:00,12.53,2021-09-05 20:00:00,6001,ug.m-3
2021-09-05 20:00:00,14.28,2021-09-05 21:00:00,6001,ug.m-3
2021-09-05 21:00:00,14.83,2021-09-05 22:00:00,6001,ug.m-3
2021-09-05 22:00:00,14.03,2021-09-05 23:00:00,6001,ug.m-3
2021-09-05 23:00:00,15.21,2021-09-06 00:00:00,6001,ug.m-3
2021-09-06 00:00:00,19.15,2021-09-06 01:00:00,6001,ug.m-3
2021-09-06 01:00:00,18.53,2021-09-06 02:00:00,6001,ug.m-3
2021-09-06 02:00:00,17.29,2021-09-06 03:00:00,6001,ug.m-3
2021-09-06 03:00:00,15.52,2021-09-06 04:00:00,6001,ug.m-3
2021-09-06 04:00:00,15.17,2021-09-06 05:00:00,6001,ug.m-3
2021-09-06 05:00:00,15.08,2021-09-06 06:00:00,6001,ug.m-3
2021-09-06 06:00:00,15.92,2021-09-06 07:00:00,6001,ug.m-3
2021-09-06 07:00:00,16.49,2021-09-06 08:00:00,6001,ug.m-3
2021-09-06 08:00:00,15.45,2021-09-06 09:00:00,6001,ug.m-3
2021-09-06 09:00:00,13.44,2021-09-06 10:00:00,6001,ug.m-3
2021-09-06 10:00:00,13.62,2021-09-06 11:00:00,6001,ug.m-3
2021-09-06 11:00:00,16.44,2021-09-06 12:00:00,6001,ug.m-3
