Ciudad,Fecha,NDBI
A Corua,2024-11-16,-0.15898112886392696
A Corua,2024-11-24,-0.1640794853834721
A Corua,2024-12-02,-0.18757574708395916
A Corua,2024-12-10,-0.231099102261909
A Corua,2024-12-18,-0.21469673706306272
A Corua,2024-12-26,-0.19338855088170137
Albacete,2012-12-26,0.1436107514649863
Albacete,2013-01-01,0.14138526983310526
Albacete,2013-01-09,0.12393998878257434
Albacete,2013-01-17,0.11812218078125604
Albacete,2013-01-25,0.12655108276494623
Albacete,2013-02-02,0.1414935724604105
Albacete,2013-02-10,0.14438811417727307
Albacete,2013-02-18,0.13561252952741473
Albacete,2013-02-26,0.13440485164049484
Albacete,2013-03-06,0.13830308472397765
Albacete,2013-03-14,0.12877952139210916
Albacete,2013-03-22,0.11635315260679019
Albacete,2013-03-30,0.10654321194953169
Albacete,2013-04-07,0.09399048466618005
Albacete,2013-04-15,0.0690008979831137
Albacete,2013-04-23,0.07325112131058654
Albacete,2013-05-01,0.09002366282054165
Albacete,2013-05-09,0.1150640664943466
Albacete,2013-05-17,0.11475215432140273
Albacete,2013-05-25,0.1081781560459486
Albacete,2013-06-02,0.11049388658783933
Albacete,2013-06-10,0.10390917047975928
Albacete,2013-06-18,0.10499945032209175
Albacete,2013-06-26,0.09892235935650351
Albacete,2013-07-04,0.09843292071999847
Albacete,2013-07-12,0.10821778051184905
Albacete,2013-07-20,0.11842023296034991
Albacete,2013-07-28,0.11985677959443412
Albacete,2013-08-05,0.1169670777614764
Albacete,2013-08-13,0.11205497096342532
Albacete,2013-08-21,0.11195531864853459
Albacete,2013-08-29,0.08919104267855045
Albacete,2013-09-06,0.0939334512213117
Albacete,2013-09-14,0.09049427331376732
Albacete,2013-09-22,0.10708024656214965
Albacete,2013-09-30,0.0997228932795338
Albacete,2013-10-08,0.0968131660021075
Albacete,2013-10-16,0.1089764057707195
Albacete,2013-10-24,0.1277565719324124
Albacete,2013-11-01,0.13479428620389697
Albacete,2013-11-09,0.13483365569046993
Albacete,2013-11-17,0.1335480050746142
Albacete,2013-11-25,0.14146648844810586
Albacete,2013-12-03,0.14502340128090974
Albacete,2013-12-11,0.1257965495489437
Albacete,2013-12-19,0.11501273684171259
Albacete,2013-12-27,0.11007265658999595
Albacete,2014-01-01,0.1282570380304204
Albacete,2014-01-09,0.128565710330938
Albacete,2014-01-17,0.12884579691680734
Albacete,2014-01-25,0.13040890517741077
Albacete,2014-02-02,0.12583953559174588
Albacete,2014-02-10,0.11014526432115611
Albacete,2014-02-18,0.10629867493810806
Albacete,2014-02-26,0.12358987458076016
Albacete,2014-03-06,0.13777841573172891
Albacete,2014-03-14,0.132911065580783
Albacete,2014-03-22,0.12723433041121426
Albacete,2014-03-30,0.11293124456729255
Albacete,2014-04-07,0.11159878648667887
Albacete,2014-04-15,0.11246154507400159
Albacete,2014-04-23,0.11874837047249916
Albacete,2014-05-01,0.10693067252726209
Albacete,2014-05-09,0.09229198065804356
Albacete,2014-05-17,0.08854019020027863
Albacete,2014-05-25,0.10335355890962043
Albacete,2014-06-02,0.11043201510423406
Albacete,2014-06-10,0.11569503774448282
Albacete,2014-06-18,0.11269237105794334
Albacete,2014-06-26,0.10556422476904036
Albacete,2014-07-04,0.10467036714670341
Albacete,2014-07-12,0.10438311733864374
Albacete,2014-07-20,0.11516318399355939
Albacete,2014-07-28,0.11867418316490562
Albacete,2014-08-05,0.11724348123895757
Albacete,2014-08-13,0.12099629844301256
Albacete,2014-08-21,0.11225594515827131
Albacete,2014-08-29,0.10523265369012709
Albacete,2014-09-06,0.10342424884777028
Albacete,2014-09-14,0.1081716773240123
Albacete,2014-09-22,0.11494375824912366
Albacete,2014-09-30,0.12048051134893949
Albacete,2014-10-08,0.11989594680567632
Albacete,2014-10-16,0.11675986594514975
Albacete,2014-10-24,0.11138788443592436
