Ciudad,Fecha,NDVI
AlicanteAlacant,2014-02-02,1.324e-05
AlicanteAlacant,2014-02-18,1.3750000000000002e-05
AlicanteAlacant,2014-03-06,1.697e-05
AlicanteAlacant,2014-03-22,1.4599999999999999e-05
AlicanteAlacant,2014-04-07,1.4240000000000001e-05
AlicanteAlacant,2014-04-23,1.4920000000000001e-05
AlicanteAlacant,2014-05-09,1.24e-05
AlicanteAlacant,2014-05-25,1.2195000000000001e-05
AlicanteAlacant,2014-06-10,1.199e-05
AlicanteAlacant,2014-06-26,1.3900000000000002e-05
AlicanteAlacant,2014-07-12,1.215e-05
AlicanteAlacant,2014-07-28,1.296e-05
AlicanteAlacant,2014-08-13,1.5110000000000003e-05
AlicanteAlacant,2014-08-29,1.276e-05
AlicanteAlacant,2014-09-14,1.089e-05
AlicanteAlacant,2014-09-30,1.4530000000000001e-05
AlicanteAlacant,2014-10-16,1.4249999999999999e-05
AlicanteAlacant,2014-11-01,1.32e-05
AlicanteAlacant,2014-11-17,1.2315e-05
AlicanteAlacant,2014-12-03,1.143e-05
AlicanteAlacant,2014-12-19,1.217e-05
AlicanteAlacant,2015-01-01,1.234e-05
AlicanteAlacant,2015-01-17,1.4040000000000001e-05
AlicanteAlacant,2015-02-02,1.379e-05
AlicanteAlacant,2015-02-18,1.2805e-05
AlicanteAlacant,2015-03-06,1.182e-05
AlicanteAlacant,2015-03-22,1.2080000000000001e-05
AlicanteAlacant,2015-04-07,1.391e-05
AlicanteAlacant,2015-04-23,1.387e-05
AlicanteAlacant,2015-05-09,1.598e-05
AlicanteAlacant,2015-05-25,1.4950000000000001e-05
AlicanteAlacant,2015-06-10,1.4000000000000001e-05
AlicanteAlacant,2015-06-26,1.3880000000000001e-05
AlicanteAlacant,2015-07-12,1.159e-05
AlicanteAlacant,2015-07-28,1.267e-05
AlicanteAlacant,2015-08-13,1.2600000000000001e-05
AlicanteAlacant,2015-08-29,1.5120000000000001e-05
AlicanteAlacant,2015-09-14,1.5759999999999998e-05
AlicanteAlacant,2015-09-30,1.3480000000000001e-05
AlicanteAlacant,2015-10-16,1.4690000000000002e-05
AlicanteAlacant,2015-11-01,1.3845e-05
AlicanteAlacant,2015-11-17,1.3000000000000001e-05
AlicanteAlacant,2015-12-03,1.291e-05
AlicanteAlacant,2015-12-19,1.2515000000000001e-05
AlicanteAlacant,2016-01-01,1.2120000000000001e-05
AlicanteAlacant,2016-01-17,1.285e-05
AlicanteAlacant,2016-02-02,1.384e-05
AlicanteAlacant,2016-02-18,1.4829999999999999e-05
AlicanteAlacant,2016-03-05,1.467e-05
AlicanteAlacant,2016-03-21,1.299e-05
AlicanteAlacant,2016-04-06,1.213e-05
AlicanteAlacant,2016-04-22,1.44e-05
AlicanteAlacant,2016-05-08,1.3055e-05
AlicanteAlacant,2016-05-24,1.171e-05
AlicanteAlacant,2016-06-09,1.4660000000000002e-05
AlicanteAlacant,2016-06-25,1.151e-05
AlicanteAlacant,2016-07-11,1.4460000000000002e-05
AlicanteAlacant,2016-07-27,1.2920000000000002e-05
AlicanteAlacant,2016-08-12,1.539e-05
